"id","is_get_time","name","price","secondClassCN","snapshot_time","commit_time"
"1","1767227845","老式钢盔 (几乎全新)","1324","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:25+00:00"
"2","1767227878","ASh-12扩容30发弹匣","51763","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:58+00:00"
"3","1767227840","沙漠之鹰","17640","手枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:20+00:00"
"4","1767227843","DRO 战术头盔","8352","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:23+00:00"
"5","1767227879","M4弹鼓60发","37050","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:59+00:00"
"6","1767227891","AR MOE后握把","25012","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:11+00:00"
"7","1767227842","GN 久战重型夜视头盔","209128","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:22+00:00"
"8","1767227845","复古摩托头盔 (几乎全新)","6387","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:25+00:00"
"9","1767227878","M7 45发6.8弹鼓","115699","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:58+00:00"
"10","1767227880","SVD 20发弹匣","22542","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:00+00:00"
"11","1767227928","LPVO多倍率战斗瞄具","38549","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:48+00:00"
"12","1767227932","QJB201新式重锤战术枪管","37212","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:52+00:00"
"13","1767227935","R93裂变长枪管","63456","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"14","1767227885","枢机先进战斗枪托","52413","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:05+00:00"
"15","1767227840",".357左轮","14130","手枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:20+00:00"
"16","1767227842","Mask-1铁壁头盔","136869","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:22+00:00"
"17","1767227847","H70 精英头盔 (破损)","707547","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:27+00:00"
"18","1767227878","45发 K437扩容弹匣","49559","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:58+00:00"
"19","1767227878","AR 60发扩容弹匣","74524","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:58+00:00"
"20","1767227878","Vector扩容40发弹匣","34799","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:58+00:00"
"21","1767227880","SG552 45发扩容弹匣","41250","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:00+00:00"
"22","1767227883","M700黑色一体枪托","14618","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:03+00:00"
"23","1767227936","野牛刀锋超长枪管","43588","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:56+00:00"
"24","1767227886","AK19枪托","19147","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"25","1767227843","复古摩托头盔","9189","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:23+00:00"
"26","1767227847","GN 重型夜视头盔 (破损)","402524","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:27+00:00"
"27","1767227855","射手战术背心 (破损)","36167","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:35+00:00"
"28","1767227880","M14 20发弹匣","23389","弹匣","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:00+00:00"
"29","1767227929","微型红点瞄准镜","18992","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:49+00:00"
